iso3,metric,household,earnings,value,year,source
ISL,tax_wedge_pct,single_nokids,167aw,36.593205,2024,OECD Taxing Wages (comparative)
ITA,tax_wedge_pct,single_nokids,167aw,53.947269,2024,OECD Taxing Wages (comparative)
LTU,tax_wedge_pct,single_nokids,167aw,40.563906,2024,OECD Taxing Wages (comparative)
LUX,tax_wedge_pct,single_nokids,167aw,46.110787,2024,OECD Taxing Wages (comparative)
LVA,tax_wedge_pct,single_nokids,167aw,43.04546,2024,OECD Taxing Wages (comparative)
NLD,tax_wedge_pct,single_nokids,167aw,42.047812,2024,OECD Taxing Wages (comparative)
NOR,tax_wedge_pct,single_nokids,167aw,43.419723,2024,OECD Taxing Wages (comparative)
POL,tax_wedge_pct,single_nokids,167aw,37.855157,2024,OECD Taxing Wages (comparative)
PRT,tax_wedge_pct,single_nokids,167aw,45.486088,2024,OECD Taxing Wages (comparative)
SVK,tax_wedge_pct,single_nokids,167aw,44.473156,2024,OECD Taxing Wages (comparative)
SVN,tax_wedge_pct,single_nokids,167aw,47.65476,2024,OECD Taxing Wages (comparative)
SWE,tax_wedge_pct,single_nokids,167aw,49.478791,2024,OECD Taxing Wages (comparative)
USA,tax_wedge_pct,single_nokids,167aw,34.420401,2024,OECD Taxing Wages (comparative)
AUT,tax_wedge_pct,single_nokids,67aw,42.325313,2024,OECD Taxing Wages (comparative)
BEL,tax_wedge_pct,single_nokids,67aw,45.559871,2024,OECD Taxing Wages (comparative)
CHE,tax_wedge_pct,single_nokids,67aw,20.04717,2024,OECD Taxing Wages (comparative)
CZE,tax_wedge_pct,single_nokids,67aw,38.898789,2024,OECD Taxing Wages (comparative)
DEU,tax_wedge_pct,single_nokids,67aw,43.961369,2024,OECD Taxing Wages (comparative)
DNK,tax_wedge_pct,single_nokids,67aw,33.613749,2024,OECD Taxing Wages (comparative)
ESP,tax_wedge_pct,single_nokids,67aw,37.550638,2024,OECD Taxing Wages (comparative)
EST,tax_wedge_pct,single_nokids,67aw,35.103734,2024,OECD Taxing Wages (comparative)
FIN,tax_wedge_pct,single_nokids,67aw,35.450881,2024,OECD Taxing Wages (comparative)
FRA,tax_wedge_pct,single_nokids,67aw,41.190715,2024,OECD Taxing Wages (comparative)
GBR,tax_wedge_pct,single_nokids,67aw,25.629676,2024,OECD Taxing Wages (comparative)
GRC,tax_wedge_pct,single_nokids,67aw,35.460421,2024,OECD Taxing Wages (comparative)
HUN,tax_wedge_pct,single_nokids,67aw,41.150442,2024,OECD Taxing Wages (comparative)
IRL,tax_wedge_pct,single_nokids,67aw,24.890272,2024,OECD Taxing Wages (comparative)
ISL,tax_wedge_pct,single_nokids,67aw,27.280541,2024,OECD Taxing Wages (comparative)
ITA,tax_wedge_pct,single_nokids,67aw,37.99715,2024,OECD Taxing Wages (comparative)
LTU,tax_wedge_pct,single_nokids,67aw,34.013921,2024,OECD Taxing Wages (comparative)
LUX,tax_wedge_pct,single_nokids,67aw,32.003288,2024,OECD Taxing Wages (comparative)
LVA,tax_wedge_pct,single_nokids,67aw,38.269855,2024,OECD Taxing Wages (comparative)
NLD,tax_wedge_pct,single_nokids,67aw,27.615512,2024,OECD Taxing Wages (comparative)
NOR,tax_wedge_pct,single_nokids,67aw,32.375578,2024,OECD Taxing Wages (comparative)
POL,tax_wedge_pct,single_nokids,67aw,33.004144,2024,OECD Taxing Wages (comparative)
PRT,tax_wedge_pct,single_nokids,67aw,36.262824,2024,OECD Taxing Wages (comparative)
SVK,tax_wedge_pct,single_nokids,67aw,40.333925,2024,OECD Taxing Wages (comparative)
SVN,tax_wedge_pct,single_nokids,67aw,41.859954,2024,OECD Taxing Wages (comparative)
SWE,tax_wedge_pct,single_nokids,67aw,39.17739,2024,OECD Taxing Wages (comparative)
USA,tax_wedge_pct,single_nokids,67aw,27.607526,2024,OECD Taxing Wages (comparative)
